,Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value
0,2021-02-05,0.2993471542061866,0.6027283127170935,0.09792453307671993,7705495.0,0
1,2021-02-06,0.3588407460704414,0.5657350828342242,0.07542417109533431,16580043.0,0
2,2021-02-07,0.3789463517827564,0.3959089705044227,0.22514467771282087,12031397.0,0
3,2021-02-08,0.5093237270841847,0.3908790542917623,0.09979721862405296,48100078.0,0
4,2021-02-09,0.5714241161093832,0.2775345706884237,0.15104131320219322,31872015.0,0
5,2021-02-10,0.5382057350550525,0.33947590952979356,0.12231835541515394,19512280.0,0
6,2021-02-11,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
7,2021-02-12,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
8,2021-02-13,0.24276292561372934,0.670931322599259,0.08630575178701164,18395935.0,0
9,2021-02-14,0.2953215352714633,0.5261537491520789,0.17852471557645777,15828419.0,0
10,2021-02-15,0.3332703108363914,0.4382588481563594,0.22847084100724913,14835972.0,0
11,2021-02-16,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
12,2021-02-17,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
13,2021-02-18,0.48355355388519033,0.39896736365348723,0.11747908246132245,15061643.0,0
14,2021-02-19,0.455082787808822,0.4208270645082703,0.12409014768290767,26450996.0,0
15,2021-02-20,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
16,2021-02-21,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
17,2021-02-22,0.4692183578518574,0.4134837084622718,0.11729793368587084,23550969.0,0
18,2021-02-23,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
19,2021-02-24,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
20,2021-02-25,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
21,2021-02-26,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
22,2021-02-27,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
23,2021-02-28,0.46616328814798497,0.4160820349150637,0.11775467693695141,9254401.0,0
24,2021-03-01,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
25,2021-03-02,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
26,2021-03-03,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
27,2021-03-04,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
28,2021-03-05,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
29,2021-03-06,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
30,2021-03-07,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
31,2021-03-08,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
32,2021-03-09,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
33,2021-03-10,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
34,2021-03-11,0.09434501910980816,0.7846830908759604,0.12097189001423145,1300641.0,0
35,2021-03-12,0.4900850514903831,0.4273260246532358,0.08258892385638111,16611937.0,0
36,2021-03-13,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
37,2021-03-14,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
38,2021-03-15,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
39,2021-03-16,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
40,2021-03-17,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
41,2021-03-18,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
42,2021-03-19,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
43,2021-03-20,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
44,2021-03-21,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
45,2021-03-22,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
46,2021-03-23,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
47,2021-03-24,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
48,2021-03-25,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
49,2021-03-26,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
50,2021-03-27,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
51,2021-03-28,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
52,2021-03-29,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
53,2021-03-30,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
54,2021-03-31,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
55,2021-04-01,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
56,2021-04-02,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
57,2021-04-03,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
58,2021-04-04,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1
59,2021-04-05,0.4125928098634634,0.5044967936694169,0.08291039646711969,7943660.0,0
60,2021-04-06,0.28945687961203254,0.5315395889635313,0.17900353142443615,14042209.0,0
61,2021-04-07,0.2591725164219133,0.5921060104105489,0.14872147316753775,15935567.0,0
